Gene	Name	Description	Fold Change	Adjusted p-values	Base Mean	log2FoldChange
PA2878		hypothetical protein	-3.18	0.0221741557	5.22	-1.67
PA2883		hypothetical protein	-3.75	7.97E-15	106.96	-1.91
PA2889	atuD	citronellyl-CoA dehydrogenase, AtuD	-2.44	0.0018750709	91.82	-1.29
PA2895	sbrR	SbrR	1.58	0.0004047265	123.44	0.66
PA2898		hypothetical protein	2.80	4.66E-06	27.52	1.48
PA2899		probable transcriptional regulator	1.84	1.02E-06	123.18	0.88
PA2900		probable outer membrane protein precursor	8.06	2.11E-87	1290.01	3.01
PA2901		hypothetical protein	5.77	1.11E-63	423.03	2.53
PA2902		hypothetical protein	1.77	7.45E-09	309.78	0.82
PA2903	cobJ	precorrin-3 methylase CobJ	2.07	0.017737746	241.23	1.05
PA2904	cobI	precorrin-2 methyltransferase CobI	2.61	0.0019833339	151.25	1.38
PA2905	cobH	precorrin isomerase CobH	2.15	0.0175166715	74.02	1.10
PA2906		probable oxidoreductase	2.90	7.57E-16	378.34	1.54
PA2907	cobL	precorrin-6y-dependent methyltransferase CobL	1.85	7.28E-07	208.22	0.89
PA2911		probable TonB-dependent receptor	1.76	0.0142876735	217.34	0.81
PA2915		hypothetical protein	-3.99	3.76E-13	134.83	-2.00
PA2917		probable transcriptional regulator	-1.54	0.0393449547	87.81	-0.62
PA2918		probable short-chain dehydrogenase	-14.74	1.58E-20	49.99	-3.88
PA2920		probable chemotaxis transducer	-1.61	0.0355467265	271.03	-0.69
PA2921		probable transcriptional regulator	1.95	0.0003628548	107.70	0.96
PA2927		hypothetical protein	-6.67	2.11E-12	90.83	-2.74
PA2928		hypothetical protein	2.42	6.59E-08	154.61	1.28
PA2930		probable transcriptional regulator	1.74	0.0003155196	85.81	0.80
PA2937		hypothetical protein	-7.04	1.85E-06	52.41	-2.82
PA2939		probable aminopeptidase	-66.16	1.35E-12	6423.09	-6.05
PA2941		hypothetical protein	1.97	4.82E-05	70.06	0.98
PA2942		probable magnesium chelatase	1.96	1.78E-10	200.41	0.97
PA2943		phospho-2-dehydro-3-deoxyheptonate aldolase	2.83	0.0016120283	353.77	1.50
PA2946		hypothetical protein	-2.09	1.35E-16	372.72	-1.06
PA2947	cobE	CobE	-2.02	0.0165797217	28.16	-1.02
PA2948	cobM	precorrin-3 methylase	-4.61	2.03E-05	36.58	-2.21
PA2949		esterase	-1.69	0.0128275893	153.13	-0.75
PA2952	etfB	electron transfer flavoprotein beta-subunit	-1.75	4.42E-12	4737.79	-0.81
PA2953		electron transfer flavoprotein-ubiquinone oxidoreductase	4.91	1.04E-71	2127.71	2.30
PA2954		hypothetical protein	2.84	8.11E-29	191.57	1.51
PA2955		hypothetical protein	3.28	2.11E-27	213.85	1.71
PA2956		conserved hypothetical protein	2.61	4.37E-09	357.61	1.39
PA2957		probable transcriptional regulator	1.77	8.47E-08	760.50	0.82
PA2958		hypothetical protein	-1.69	4.82E-07	160.08	-0.76
PA2959		conserved hypothetical protein	2.00	3.83E-05	531.33	1.00
PA2963		conserved hypothetical protein	2.27	6.63E-06	288.35	1.18
PA2964	pabC	4-amino-4-deoxychorismate lyase	1.82	0.0072774361	354.99	0.87
PA2968	fabD	malonyl-CoA-[acyl-carrier-protein] transacylase	2.15	0.0002475007	1594.10	1.11
PA2969	plsX	fatty acid biosynthesis protein PlsX	1.89	0.0214884839	724.36	0.92
PA2970	rpmF	50S ribosomal protein L32	4.38	5.31E-12	2841.53	2.13
PA2971		conserved hypothetical protein	5.33	3.92E-18	3539.64	2.41
PA2972		conserved hypothetical protein	1.69	0.0017211245	72.25	0.75
PA2973		probable peptidase	5.03	4.51E-17	1804.27	2.33
PA2974		probable hydrolase	3.75	5.98E-16	582.26	1.91
PA2975	rluC	ribosomal large subunit pseudouridine synthase C	2.69	2.39E-09	650.90	1.43
PA2977	murB	UDP-N-acetylpyruvoylglucosamine reductase	2.17	0.0012452172	458.06	1.12
PA2978	ptpA	phosphotyrosine protein phosphatase	1.71	0.0081488715	236.56	0.77
PA2979	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	1.67	1.06E-09	442.81	0.74
PA2981	lpxK	tetraacyldisaccharide 4*-kinase	3.22	1.29E-22	411.81	1.69
PA2982		conserved hypothetical protein	3.32	6.13E-34	403.92	1.73
PA2983		probable tolQ-type transport protein	3.07	3.04E-42	412.18	1.62
PA2987	lolD	lipoprotein localization protein LolD	1.53	0.029883896	229.89	0.61
PA2988	lolE	lipoprotein localization protein LolE	2.87	3.13E-14	537.13	1.52
PA2991	sth	soluble pyridine nucleotide transhydrogenase	1.83	0.0023235253	1874.67	0.87
PA2993		conserved hypothetical protein	1.83	0.0046999007	369.50	0.87
PA2994	nqrF	Na+-translocating NADH:quinone oxidoreductase, subunit Nqr6	2.79	7.53E-08	999.88	1.48
PA2995	nqrE	Na+-translocating NADH:quinone oxidoreductase subunit Nqr5	3.80	1.56E-15	581.62	1.92
PA2996	nqrD	Na+-translocating NADH:uniquinone oxidoreductase subunit Nqr4	4.19	7.53E-30	635.88	2.07
PA2997	nqrC	Na+-translocating NADH:ubiquinone oxidoreductase subunit Nrq3	5.70	1.02E-64	669.97	2.51
PA2998	nqrB	Na+-translocating NADH:ubiquinone oxidoreductase subunit Nrq2	3.98	3.29E-30	1088.10	1.99
PA2999	nqrA	Na+-translocating NADH:ubiquinone oxidoreductase subunit Nrq1	3.32	2.05E-56	1762.81	1.73
PA3000	aroP1	aromatic amino acid transport protein AroP1	4.62	4.15E-14	592.86	2.21
PA3003		hypothetical protein	2.23	3.38E-23	444.03	1.16
PA3006	psrA	transcriptional regulator PsrA	2.28	7.79E-09	686.71	1.19
PA3009		hypothetical protein	2.13	3.19E-05	226.12	1.09
PA3013	faoB	fatty-acid oxidation complex beta-subunit	-1.53	0.0160829193	1528.84	-0.61
PA3016		hypothetical protein	6.66	1.67E-26	66.16	2.74
PA3017		conserved hypothetical protein	-2.19	3.08E-07	240.08	-1.13
PA3018		hypothetical protein	7.74	4.38E-07	212.22	2.95
PA3019		probable ATP-binding component of ABC transporter	5.54	4.21E-37	1212.41	2.47
PA3020		probable soluble lytic transglycosylase	-1.58	0.0002840643	406.47	-0.66
PA3023		conserved hypothetical protein	-4.79	1.34E-08	139.81	-2.26
PA3025		probable FAD-dependent glycerol-3-phosphate dehydrogenase	-1.56	0.001730082	77.87	-0.64
PA3027		probable transcriptional regulator	2.58	6.11E-07	357.45	1.37
PA3030	mobA	molybdopterin-guanine dinucleotide biosynthesis protein MobA	-2.15	8.46E-05	53.68	-1.11
PA3031		hypothetical protein	-5.23	1.83E-31	1848.61	-2.39
PA3032	snr1	cytochrome c Snr1	-4.52	0.0001922023	83.63	-2.18
PA3035		probable glutathione S-transferase	-2.28	0.0041467622	27.88	-1.19
PA3040		conserved hypothetical protein	-14.10	5.35E-42	527.11	-3.82
PA3041		hypothetical protein	-14.16	2.44E-37	205.14	-3.82
PA3042		hypothetical protein	-15.42	9.41E-25	115.26	-3.95
PA3043		conserved hypothetical protein	-5.75	1.09E-43	258.88	-2.52
PA3045	rocA2	Two-component response regulator, RocA2	2.04	0.0018609944	34.11	1.03
PA3047		probable D-alanyl-D-alanine carboxypeptidase	2.75	2.88E-43	607.92	1.46
PA3048		conserved hypothetical protein	4.92	2.35E-41	1364.40	2.30
PA3049	rmf	ribosome modulation factor	-61.76	3.38E-31	3053.15	-5.95
PA3050	pyrD	dihydroorotate dehydrogenase	4.09	9.99E-70	1046.08	2.03
PA3051		hypothetical protein	-2.13	0.0237649929	12.60	-1.09
PA3052		hypothetical protein	-1.96	9.65E-18	252.85	-0.97
PA3054		hypothetical protein	-2.15	6.45E-06	102.30	-1.11
PA3055		hypothetical protein	-3.18	1.34E-18	160.21	-1.67
PA3056		hypothetical protein	-2.85	1.17E-15	119.56	-1.51
PA3059	pelF	PelF	2.39	0.003518021	53.37	1.26
PA3060	pelE	PelE	5.47	2.04E-08	43.94	2.45
PA3061	pelD	PelD	3.26	1.23E-05	67.10	1.71
PA3062	pelC	PelC	3.70	7.38E-06	27.54	1.89
PA3063	pelB	PelB	2.44	1.34E-05	93.05	1.28
PA3064	pelA	PelA	1.84	0.0023282087	94.19	0.88
PA3065		hypothetical protein	2.63	4.86E-06	27.57	1.40
PA3066		hypothetical protein	2.36	1.27E-05	82.99	1.24
PA3067		probable transcriptional regulator	1.95	0.0004440972	48.18	0.96
PA3068	gdhB	NAD-dependent glutamate dehydrogenase	-3.36	9.07E-11	7554.61	-1.75
PA3069		hypothetical protein	-2.08	1.34E-05	77.87	-1.06
PA3076		hypothetical protein	-2.86	9.35E-08	111.11	-1.52
PA3077	cprR	CprR	-2.25	0.000170348	58.20	-1.17
PA3078	cprS	CprS	-2.77	0.0001330867	91.28	-1.47
PA3079		hypothetical protein	3.05	0.0028048903	1104.17	1.61
PA3083	pepN	aminopeptidase N	-2.12	1.25E-05	1149.40	-1.08
PA3089		hypothetical protein	-5.49	4.82E-08	55.02	-2.46
PA3091		hypothetical protein	-1.72	0.0043748886	298.87	-0.79
PA3092	fadH1	2,4-dienoyl-CoA reductase FadH1	1.94	2.09E-06	139.72	0.96
PA3093		hypothetical protein	2.24	1.31E-09	357.93	1.16
PA3095	xcpZ	general secretion pathway protein M	-3.01	3.29E-06	63.29	-1.59
PA3096	xcpY	general secretion pathway protein L	-1.58	0.0006583875	212.33	-0.66
PA3099	xcpV	general secretion pathway protein I	-1.62	0.0011021365	104.69	-0.70
PA3100	xcpU	General secretion pathway outer membrane protein H precursor	-3.30	2.81E-13	154.27	-1.72
PA3101	xcpT	general secretion pathway protein G	-5.55	1.92E-37	379.08	-2.47
PA3102	xcpS	general secretion pathway protein F	-1.65	6.84E-09	225.34	-0.73
PA3103	xcpR	general secretion pathway protein E	-1.54	0.0004102016	760.42	-0.62
PA3104	xcpP	secretion protein XcpP	-2.43	6.34E-12	529.16	-1.28
PA3105	xcpQ	general secretion pathway protein D	-2.25	1.55E-14	1260.96	-1.17
PA3106		probable short-chain dehydrogenase	1.82	0.0149284977	484.11	0.86
PA3107	metZ	o-succinylhomoserine sulfhydrylase	1.88	0.0011570346	1009.47	0.91
PA3108	purF	amidophosphoribosyltransferase	2.35	1.57E-15	2306.86	1.23
PA3109		hypothetical protein	3.00	3.59E-16	315.32	1.58
PA3110		hypothetical protein	1.61	0.002446137	508.50	0.68
PA3111	folC	folylpolyglutamate synthetase	1.93	0.001337346	1081.87	0.95
PA3112	accD	acetyl-CoA carboxylase beta subunit	2.45	3.59E-09	1790.23	1.30
PA3114	truA	tRNA-pseudouridine synthase I	1.65	0.0004311758	241.19	0.72
PA3116		probable aspartate-semialdehyde dehydrogenase	3.33	1.46E-13	379.72	1.74
PA3117	asd	aspartate semialdehyde dehydrogenase	1.87	9.45E-07	908.60	0.90
PA3118	leuB	3-isopropylmalate dehydrogenase	-2.22	9.34E-15	205.42	-1.15
PA3123		conserved hypothetical protein	-4.97	6.70E-17	242.79	-2.31
PA3126	ibpA	heat-shock protein IbpA	-5.24	9.28E-16	694.91	-2.39
PA3127		hypothetical protein	-2.06	5.81E-09	112.92	-1.05
PA3128		probable short-chain dehydrogenase	-3.00	1.55E-12	98.41	-1.59
PA3129		conserved hypothetical protein	8.14	7.87E-54	606.28	3.03
PA3132		probable hydrolase	2.14	1.27E-05	57.90	1.10
PA3144		transposase with Helix-turn-helix Hin domain	-1.73	0.0064015024	136.37	-0.79
PA3145	wbpL	glycosyltransferase WbpL	-1.89	0.0024913996	905.50	-0.92
PA3147	wbpJ	probable glycosyl transferase WbpJ	-1.91	0.0087418973	1232.47	-0.93
PA3148	wbpI	UDP-N-acetylglucosamine 2-epimerase WbpI	-4.07	0.0001145499	1357.04	-2.03
PA3149	wbpH	probable glycosyltransferase WbpH	-3.45	0.0010887193	1369.01	-1.79
PA3150	wbpG	LPS biosynthesis protein WbpG	-4.58	0.0001046077	1875.63	-2.19
PA3151	hisF2	imidazoleglycerol-phosphate synthase, cyclase subunit	-2.34	0.034449072	872.66	-1.23
PA3153	wzx	O-antigen translocase	-2.65	0.0202608191	360.59	-1.40
PA3154	wzy	B-band O-antigen polymerase	-3.00	0.0012328905	604.58	-1.58
PA3155	wbpE	UDP-2-acetamido-2-dideoxy-d-ribo-hex-3-uluronic acid transaminase, wbpE	-2.64	3.54E-06	2076.59	-1.40
PA3156	wbpD	UDP-2-acetamido-3-amino-2,3-dideoxy-d-glucuronic acid N-acetyltransferase, WbpD	-1.68	0.0010431428	1116.20	-0.75
PA3157		probable acetyltransferase	-1.87	0.0006576161	918.02	-0.91
PA3162	rpsA	30S ribosomal protein S1	3.01	0.0001139994	38573.45	1.59
PA3165	hisC2	histidinol-phosphate aminotransferase	1.58	0.0130982754	1217.86	0.66
PA3168	gyrA	DNA gyrase subunit A	1.80	2.37E-08	5001.06	0.85
PA3169		5-methylthioribose-1-phosphate isomerase MtnA	1.91	5.19E-08	483.01	0.93
PA3171	ubiG	3-demethylubiquinone-9 3-methyltransferase	1.54	4.13E-05	480.38	0.63
PA3178		hypothetical protein	1.98	1.07E-05	193.31	0.99
PA3179		conserved hypothetical protein	3.75	2.44E-16	1442.51	1.91
PA3180		hypothetical protein	-2.73	9.43E-08	85.77	-1.45
PA3181		2-keto-3-deoxy-6-phosphogluconate aldolase	4.15	5.12E-11	709.43	2.05
PA3182	pgl	6-phosphogluconolactonase	3.81	5.35E-10	453.94	1.93
PA3183	zwf	glucose-6-phosphate 1-dehydrogenase	3.51	2.79E-19	2152.51	1.81
PA3184		probable transcriptional regulator	1.86	9.15E-07	282.33	0.89
PA3187		probable ATP-binding component of ABC transporter	3.00	1.80E-06	1624.62	1.58
PA3188		probable permease of ABC sugar transporter	3.20	5.70E-06	637.64	1.68
PA3189		probable permease of ABC sugar transporter	2.59	0.0004689178	729.13	1.37
PA3191	gtrS	glucose transport sensor, GtrS	2.37	1.75E-06	159.01	1.24
PA3192	gltR	two-component response regulator GltR	3.04	2.20E-14	346.03	1.60
PA3193	glk	glucokinase	2.64	7.89E-17	597.89	1.40
PA3194	edd	phosphogluconate dehydratase	2.54	3.07E-11	1222.18	1.34
PA3196		hypothetical protein	3.17	8.15E-29	195.36	1.67
PA3198		conserved hypothetical protein	-2.14	0.0004177882	192.00	-1.09
PA3199		conserved hypothetical protein	-1.62	0.006559979	233.68	-0.69
PA3200		conserved hypothetical protein	1.61	0.0004250565	222.07	0.69
PA3201		conserved hypothetical protein	2.41	1.09E-13	965.51	1.27
PA3202		conserved hypothetical protein	2.02	6.51E-15	381.63	1.02
PA3203		hypothetical protein	1.76	2.32E-09	294.01	0.82
PA3204	cpxR	two-component response regulator CpxR	1.68	1.60E-06	226.41	0.74
PA3208		conserved hypothetical protein	1.61	0.0005389842	301.84	0.69
PA3209		conserved hypothetical protein	4.93	3.85E-12	44.99	2.30
PA3210	trkH	potassium uptake protein TrkH	2.97	5.69E-25	268.54	1.57
PA3212		probable ATP-binding component of ABC transporter	-1.91	8.51E-07	133.46	-0.93
PA3214		hypothetical protein	-2.13	2.25E-05	192.89	-1.09
PA3216		hypothetical protein	-2.31	0.0106754664	32.46	-1.21
PA3218		hypothetical protein	7.69	0.0045791618	7.98	2.94
PA3222		hypothetical protein	2.40	3.17E-05	106.04	1.26
PA3224		hypothetical protein	-2.63	9.77E-10	82.54	-1.39
PA3225		probable transcriptional regulator	-1.64	7.73E-05	489.17	-0.72
PA3226		probable hydrolase	-1.77	6.01E-08	154.74	-0.82
PA3227	ppiA	peptidyl-prolyl cis-trans isomerase A	-5.03	9.96E-36	329.10	-2.33
PA3228		probable ATP-binding/permease fusion ABC transporter	-3.88	1.46E-29	447.44	-1.96
PA3229		hypothetical protein	-2.66	0.0003113824	20.16	-1.41
PA3231		hypothetical protein	-3.04	0.0107013846	14.90	-1.60
PA3238		hypothetical protein	-3.42	8.47E-15	260.01	-1.77
PA3240		conserved hypothetical protein	-1.90	0.0010138788	51.76	-0.93
PA3241		hypothetical protein	-1.77	1.04E-05	218.11	-0.83
PA3242	htrB2	temperature-regulated acyltransferase HtrB1	2.05	2.19E-09	204.90	1.04
PA3244	minD	cell division inhibitor MinD	2.58	1.61E-20	3961.87	1.37
PA3245	minE	cell division topological specificity factor MinE	2.45	9.92E-18	1425.48	1.29
PA3246	rluA	pseudouridine synthase RluA	3.90	3.01E-36	268.85	1.96
PA3248		Uncharacterized protein	-1.72	0.0041535778	66.47	-0.78
PA3249		probable transcriptional regulator	-5.67	1.75E-07	59.28	-2.50
PA3250		hypothetical protein	-15.18	2.33E-09	287.34	-3.92
PA3251		hypothetical protein	-5.19	0.0006211587	43.98	-2.37
PA3252		probable permease of ABC transporter	-6.84	1.88E-05	26.00	-2.77
PA3253		probable permease of ABC transporter	-6.76	5.16E-06	20.65	-2.76
PA3254		probable ATP-binding component of ABC transporter	-3.13	2.49E-06	92.92	-1.65
PA3255		hypothetical protein	-1.75	8.02E-05	189.38	-0.81
PA3256		probable oxidoreductase	-2.74	1.93E-15	270.07	-1.45
PA3257	algO	AlgO	-2.57	5.15E-32	2185.65	-1.36
PA3259		hypothetical protein	-1.61	0.0011798869	95.67	-0.69
PA3261		hypothetical protein	-3.27	1.67E-09	146.92	-1.71
PA3263		conserved hypothetical protein	3.10	2.27E-17	696.97	1.63
PA3264		probable transporter	2.36	3.00E-10	118.16	1.24
PA3265		probable transporter	1.62	0.0192787171	61.55	0.70
PA3266	capB	cold acclimation protein B	4.39	3.07E-11	4764.77	2.13
PA3267		hypothetical protein	2.00	6.55E-10	570.46	1.00
PA3268		probable TonB-dependent receptor	11.19	1.06E-14	911.07	3.48
PA3269		probable transcriptional regulator	1.79	0.0073556522	133.53	0.84
PA3272		probable ATP-dependent DNA helicase	-3.35	1.47E-19	281.50	-1.74
PA3274		hypothetical protein	-10.67	0.0007905929	7.03	-3.42
PA3276		hypothetical protein	2.18	0.0002006514	77.03	1.12
PA3277		probable short-chain dehydrogenase	1.97	3.28E-05	95.10	0.98
PA3285		probable sigma-70 factor, ECF subfamily	1.90	8.56E-05	314.52	0.92
PA3286		hypothetical protein	1.51	2.08E-05	1170.88	0.60
PA3287		conserved hypothetical protein	-3.72	2.08E-05	45.62	-1.89
PA3289		hypothetical protein	-4.18	0.0004177882	59.94	-2.06
PA3290	tle1	Tle1	-2.09	6.18E-05	543.48	-1.06
PA3291	tli1	Tli1	-2.07	0.0199618364	81.39	-1.05
PA3296	phoA	alkaline phosphatase	-3.88	0.0012138312	10.37	-1.96
PA3297		probable ATP-dependent helicase	2.46	3.37E-07	1187.02	1.30
PA3300	fadD2	long-chain-fatty-acid--CoA ligase	-2.26	0.0001556128	377.36	-1.17
PA3302		conserved hypothetical protein	-1.62	8.50E-06	367.88	-0.69
PA3308	hepA	RNA helicase HepA	4.10	8.15E-14	1614.24	2.04
PA3311	nbdA	NbdA	-15.92	3.18E-13	103.59	-3.99
PA3312		probable 3-hydroxyisobutyrate dehydrogenase	2.51	8.23E-07	132.30	1.33
PA3315		probable permease of ABC transporter	-2.87	6.78E-08	58.49	-1.52
PA3316		probable permease of ABC transporter	-2.61	0.0029611036	70.98	-1.38
PA3317		hypothetical protein	-1.83	1.69E-08	152.87	-0.87
PA3318		hypothetical protein	-2.68	8.56E-05	23.84	-1.42
PA3320		hypothetical protein	2.14	0.0103543334	20.70	1.09
PA3322		hypothetical protein	2.93	1.65E-15	226.37	1.55
PA3326	clpP2	ClpP2	-6.56	1.11E-21	3897.17	-2.71
PA3327		probable non-ribosomal peptide synthetase	-6.12	2.98E-09	3215.25	-2.61
PA3328		probable FAD-dependent monooxygenase	-5.47	6.77E-08	513.82	-2.45
PA3329		hypothetical protein	-7.45	1.15E-10	621.47	-2.90
PA3330		probable short chain dehydrogenase	-5.17	7.21E-08	522.78	-2.37
PA3331		cytochrome P450	-6.79	4.58E-13	908.47	-2.76
PA3333	fabH2	3-oxoacyl-[acyl-carrier-protein] synthase III	-4.40	9.10E-07	695.92	-2.14
PA3334		probable acyl carrier protein	-8.03	8.85E-17	407.15	-3.01
PA3335		hypothetical protein	-7.80	2.55E-17	579.05	-2.96
PA3336		probable major facilitator superfamily (MFS) transporter	-5.84	1.57E-13	384.22	-2.55
PA3339	plpD	patatin-like protein, PlpD	2.72	2.10E-18	202.45	1.44
PA3341		probable transcriptional regulator	1.77	0.0030362001	514.99	0.83
PA3342		hypothetical protein	-2.40	5.22E-10	110.67	-1.26
PA3344	recQ	ATP-dependent DNA helicase RecQ	3.02	5.78E-14	1546.02	1.59
PA3345	hptB	Histidine phosphotransfer protein HptB	1.84	1.56E-07	175.50	0.88
PA3346	hsbR	HptB-dependent secretion and biofilm regulator HsbR	-3.12	4.86E-08	436.10	-1.64
PA3347	hsbA	HptB-dependent secretion and biofilm anti anti-sigma factor HsbA	-2.13	0.0006208297	353.28	-1.09
PA3354		hypothetical protein	-2.47	2.02E-06	106.47	-1.31
PA3355		hypothetical protein	-2.51	3.19E-07	146.85	-1.33
PA3359		hypothetical protein	2.34	0.0053570955	14.15	1.23
PA3361	lecB	fucose-binding lectin PA-IIL	-9.07	2.43E-07	534.15	-3.18
PA3362		hypothetical protein	-2.00	0.0079226392	23.99	-1.00
PA3363	amiR	aliphatic amidase regulator	-1.86	0.0024349775	38.32	-0.89
PA3365		probable chaperone	1.98	4.51E-05	97.28	0.99
PA3366	amiE	aliphatic amidase	1.80	0.0003381758	343.93	0.85
PA3368		probable acetyltransferase	2.21	0.0026404542	40.68	1.15
PA3386		conserved hypothetical protein	2.81	5.29E-09	129.75	1.49
PA3387	rhlG	beta-ketoacyl reductase	3.48	4.55E-09	57.22	1.80
PA3388		conserved hypothetical protein	4.16	3.95E-25	93.87	2.06
PA3389		probable ring-cleaving dioxygenase	4.36	2.91E-09	27.93	2.12
PA3395	nosY	NosY protein	4.59	0.0029304539	5.92	2.20
PA3399		hypothetical protein	-3.79	5.44E-22	117.62	-1.92
PA3400		hypothetical protein	-2.41	0.0008592242	61.28	-1.27
PA3404		probable outer membrane protein precursor	-7.92	6.22E-10	64.56	-2.99
PA3405	hasE	metalloprotease secretion protein	-6.14	2.83E-06	79.79	-2.62
PA3406	hasD	transport protein HasD	-6.41	1.72E-07	123.44	-2.68
PA3407	hasAp	heme acquisition protein HasAp	-7.88	1.72E-05	4537.67	-2.98
PA3408	hasR	Heme uptake outer membrane receptor HasR precursor	-3.79	0.0001825023	651.04	-1.92
PA3411		hypothetical protein	3.15	5.26E-05	34.66	1.65
PA3412		hypothetical protein	-2.47	0.0102940422	13.20	-1.30
PA3413		conserved hypothetical protein	-2.13	5.87E-08	179.16	-1.09
PA3415		probable dihydrolipoamide acetyltransferase	-34.31	3.10E-11	71.93	-5.10
PA3416		probable pyruvate dehydrogenase E1 component, beta chain	-21.31	8.67E-09	69.16	-4.41
PA3417		probable pyruvate dehydrogenase E1 component, alpha subunit	-20.09	2.29E-08	77.95	-4.33
PA3418	ldh	leucine dehydrogenase	-8.71	1.59E-08	218.87	-3.12
PA3419		hypothetical protein	-4.48	4.96E-27	109.73	-2.16
PA3421		conserved hypothetical protein	-2.93	7.18E-05	22.68	-1.55
PA3426		probable enoyl CoA-hydratase/isomerase	-6.13	2.28E-14	149.28	-2.61
PA3427		probable short-chain dehydrogenases	-1.78	0.002771654	83.23	-0.83
PA3430		probable aldolase	-2.95	0.0001535967	36.43	-1.56
PA3431		conserved hypothetical protein	4.71	1.05E-09	36.25	2.24
PA3432		hypothetical protein	2.92	0.006029927	25.75	1.55
PA3437	folM	dihydromonapterin reductase, FolM	-1.73	0.0001149263	138.50	-0.79
PA3438	folE1	GTP cyclohydrolase I precursor	-1.81	5.23E-07	147.88	-0.85
PA3439	folX	d-erythro-7,8-dihydroneopterin triphosphate epimerase	-2.31	3.57E-15	200.77	-1.21
PA3440		conserved hypothetical protein	-1.92	5.40E-13	391.81	-0.94
PA3440.1		Uncharacterized protein	-1.68	7.73E-05	362.26	-0.75
PA3451		hypothetical protein	-16.89	3.99E-09	55.87	-4.08
PA3454		probable acyl-CoA thiolase	-2.89	1.13E-06	84.94	-1.53
PA3455		conserved hypothetical protein	-4.48	1.99E-28	441.14	-2.16
PA3456		hypothetical protein	3.23	6.02E-10	353.05	1.69
PA3457		hypothetical protein	1.56	0.0037465798	74.97	0.65
PA3459		probable glutamine amidotransferase	-9.60	3.45E-14	229.07	-3.26
PA3460		probable acetyltransferase	-19.85	7.76E-16	155.26	-4.31
PA3461		conserved hypothetical protein	-21.84	2.62E-18	112.87	-4.45
PA3462		probable sensor/response regulator hybrid	-6.39	9.34E-15	76.70	-2.68
PA3464		hypothetical protein	1.84	3.14E-05	76.82	0.88
PA3465		conserved hypothetical protein	-4.64	0.0003062338	237.68	-2.21
PA3466		probable ATP-dependent RNA helicase	2.12	8.47E-07	553.06	1.08
PA3468		conserved hypothetical protein	1.73	1.01E-05	346.48	0.79
PA3469		conserved hypothetical protein	2.33	1.68E-11	182.49	1.22
PA3470		hypothetical protein	1.84	1.43E-05	101.32	0.88
PA3471		probable malic enzyme	-2.82	1.59E-25	789.45	-1.49
PA3472		hypothetical protein	3.79	1.78E-31	368.57	1.92
PA3473		hypothetical protein	6.57	6.80E-29	132.94	2.72
PA3474		conserved hypothetical protein	7.67	2.90E-33	188.35	2.94
PA3476	rhlI	autoinducer synthesis protein RhlI	-2.30	7.31E-09	2117.88	-1.20
PA3477	rhlR	transcriptional regulator RhlR	-8.52	3.38E-31	2555.57	-3.09
PA3478	rhlB	rhamnosyltransferase chain B	-11.87	2.35E-32	1050.72	-3.57
PA3479	rhlA	rhamnosyltransferase chain A	-7.59	1.66E-22	1856.71	-2.92
PA3480		probable deoxycytidine triphosphate deaminase	2.19	3.91E-24	910.78	1.13
PA3481		conserved hypothetical protein	1.57	3.47E-06	704.87	0.65
PA3483		hypothetical protein	4.20	1.84E-32	667.25	2.07
PA3487	tle5	Tle5	-2.27	3.02E-06	755.06	-1.18
PA3488	tli5	Tli5	-2.74	0.0001035994	296.73	-1.46
PA3489		conserved hypothetical protein	3.01	7.85E-15	131.78	1.59
PA3490		probable ferredoxin	4.84	6.98E-24	117.58	2.27
PA3491		probable ferredoxin	2.10	0.0053071091	306.63	1.07
PA3498		probable oxidoreductase	1.91	0.0003833623	48.90	0.93
PA3513		hypothetical protein	2.52	0.0495011814	37.60	1.33
PA3516		probable lyase	2.62	0.0005780217	34.33	1.39
PA3517		probable lyase	4.29	2.97E-08	30.02	2.10
PA3518		hypothetical protein	6.97	0.0002011755	21.12	2.80
PA3520		hypothetical protein	-4.78	1.51E-09	43.18	-2.26
PA3521	opmE	OpmE	1.79	0.0435890789	16.88	0.84
PA3522	mexQ	MexQ	2.22	0.0008612606	55.29	1.15
PA3523	mexP	MexP	2.16	0.0021211062	21.53	1.11
PA3524	gloA1	lactoylglutathione lyase	3.26	3.42E-31	537.11	1.71
PA3525	argG	argininosuccinate synthase	2.21	5.60E-18	2091.47	1.15
PA3526	motY	MotY	4.00	2.87E-14	678.69	2.00
PA3529		alkylhydroperoxide reductase C	-3.08	2.91E-39	2447.24	-1.62
PA3532		hypothetical protein	2.35	7.62E-06	64.58	1.24
PA3534		probable oxidoreductase	-1.72	0.0153622954	54.27	-0.78
PA3535		probable serine protease	-8.09	9.94E-21	313.11	-3.02
PA3537	argF	ornithine carbamoyltransferase, anabolic	3.47	1.86E-15	411.81	1.79
PA3538		probable ATP-binding component of ABC transporter	1.53	2.51E-07	480.44	0.61
PA3540	algD	GDP-mannose 6-dehydrogenase AlgD	2.17	0.0046299158	19.58	1.12
PA3550	algF	alginate o-acetyltransferase AlgF	-6.13	2.98E-05	8.85	-2.62
PA3551	algA	phosphomannose isomerase / guanosine 5'-diphospho-D-mannose pyrophosphorylase	-2.85	0.0006032005	30.75	-1.51
